,Gross Profit/Rev.,Cost of Revenue/Rev.,Operating Expenses/Rev.,"Selling, General & Administrative/Rev.",Research & Development/Rev.,Operating Income (Loss)/Rev.,Non-Operating Income (Loss)/Rev.,Net Income/Rev.
27,0.3335238365559063,-0.6664761634440937,-0.24522751071101173,-0.12333101916666986,-0.12189649154434186,0.08829632584489458,-0.0077364765086512756,0.11980223464115713
28,0.43491338611509983,-0.5650866138849002,-0.20748883814725014,-0.11498996937192836,-0.09249886877532178,0.22742454796784967,-0.006342704843210952,0.19342241891146106
29,0.32816630213298936,-0.6718336978670106,-0.3684257753350906,-0.18184809227375545,-0.18657768306133513,-0.04025947320210121,0.003701418877236274,-0.008023479707625297
30,0.24205226539251434,-0.7579477346074857,-0.4974433127960099,-0.2700710423739469,-0.22737227042206296,-0.25539104740349555,-0.013831258644536652,-0.34603818265643993
31,0.21541366362206604,-0.784586336377934,-0.42358592294873054,-0.23863815567953697,-0.18494776726919357,-0.20817225932666447,-0.010152457346466458,-0.24913158556492757
42,0.3907595564809705,-0.6092404435190295,-0.11240545541390935,-0.06582297265336975,-0.046582482760539605,0.27835410106706115,0.00625118832864185,0.211867983064288
43,0.38469860491899105,-0.6153013950810089,-0.11709432283169163,-0.06657389392498494,-0.05052042890670668,0.2676042820872994,0.011974663444340717,0.21092420845075338
44,0.38343718820007905,-0.6165628117999209,-0.11649692200530884,-0.06289651537114781,-0.05360040663416103,0.26694026619477024,0.007549087896986013,0.22414202074587247
45,0.3781776810903472,-0.6218223189096528,-0.13245750920537794,-0.07012614634821313,-0.06233136285716482,0.24572017188496928,0.006945351956767394,0.21238094505984456
46,0.38233247727810865,-0.6176675227218913,-0.14085933373404003,-0.07254976959364698,-0.06830956414039306,0.24147314354406862,0.002925158916634792,0.20913611278072236
107,0.3696165530622144,-0.6303834469377856,-0.3308251002016798,-0.2092172780883817,0.0,0.03879145286053458,0.0035613081105920195,0.024705777233157183
108,0.30095338610378186,-0.6990466138962181,-0.30798944591029026,-0.1859278803869833,0.0,-0.007036059806508356,-0.006656112576956904,-0.4570905892700088
109,0.12150745686326032,-0.8784925431367396,-0.37607593021681834,-0.2268988526065181,0.0,-0.25456847335355803,0.0019906201976287734,-0.30907165436463385
110,0.1980066853247471,-0.8019933146752529,-0.3325729726884305,-0.21658872970056414,0.0,-0.13456628736368342,0.001044033654731929,-0.1336099876295172
111,0.3092595011100953,-0.6907404988899046,-0.38140263810891994,-0.27320099255583125,0.0,-0.0721431369988246,-0.016795089460624267,-0.08906882591093117
162,0.46191776126016904,-0.538082238739831,-0.21607317542202117,-0.057849719488641586,-0.1582234559333796,0.24584458583814786,0.0008193774403652082,0.27502863640544134
163,0.435760165746717,-0.564239834253283,-0.33968211108976387,-0.10075396062996214,-0.23892815045980176,0.0960780546569531,0.008437920273336692,0.09997767196481518
164,0.432844647254561,-0.5671553527454389,-0.45388080296330297,-0.15259009505988685,-0.3012907079034161,-0.02103615570874192,0.019847539358206014,0.014463460344639899
165,0.4749291421955267,-0.5250708578044734,-0.450393080576676,-0.17341815466262647,-0.27697492591404954,0.02453606161885065,0.02203747662284279,0.07067272410327485
