Ticker;SimFinId;"Company Name";IndustryId
A;45846;"AGILENT TECHNOLOGIES INC";106001
A21;1333027;"Li Auto Inc.";
AA;367153;"Alcoa Corp";110004
AAC_delist;939324;"AAC Holdings, Inc.";106011
AAL;68568;"American Airlines Group Inc.";100006
AAMC;847094;"Altisource Asset Management Corp";104001
AAME;450021;"ATLANTIC AMERICAN CORP";104004
AAN;441241;"Aaron's Company, Inc.";100007
AAOI;671827;"APPLIED OPTOELECTRONICS, INC.";101004
AAON;919501;"AAON INC";100001
AAP;184955;"ADVANCE AUTO PARTS INC";103002
AAPL;111052;"APPLE INC";101001
AAT;919944;"American Assets Trust, Inc.";109001
AAWW;762204;"ATLAS AIR WORLDWIDE HOLDINGS INC";100010
ABAX;36105;"ABAXIS INC";106001
ABBV;61199;"AbbVie Inc.";106005
ABC;187024;"AMERISOURCEBERGEN CORP";106014
ABCB;919504;"Ameris Bancorp";104002
ABCD;358762;"CAMBIUM LEARNING GROUP, INC.";102006
ABCL;1250893;"AbCellera Biologics Inc.";106002
ABEO;953884;"ABEONA THERAPEUTICS INC.";
ABG;545489;"ASBURY AUTOMOTIVE GROUP INC";103005
ABIO;953886;"ARCA biopharma, Inc.";
ABM;199984;"ABM INDUSTRIES INC /DE/";100002
ABMC;160965;"AMERICAN BIO MEDICA CORP";106002
ABMD;445587;"Abiomed Inc";106004
ABNB;1214552;"Airbnb, Inc.";103015
ABR;638468;"ARBOR REALTY TRUST INC";109001
ABSI;1250894;"Absci Corp";106002
ABT;63877;"ABBOTT LABORATORIES";106004
ABTL;445589;"AutoWeb, Inc.";101002
ABTX;953887;"Allegiance Bancshares, Inc.";104002
ABUS;953888;"Arbutus Biopharma Corp";106002
AC;919941;"Associated Capital Group, Inc.";104003
ACA;919864;"Arcosa, Inc.";100003
ACAD;445591;"Acadia Pharmaceuticals Inc";106002
ACAN;654226;"AmeriCann, Inc.";106005
ACAT;33956;"ARCTIC CAT INC";103005
ACC;445593;"American Campus Communities Inc";109001
ACCO;120923;"ACCO BRANDS Corp";100001
ACER;1053636;"Acer Therapeutics Inc.";106002
ACET;1154966;"Adicet Bio, Inc.";106002
ACET_delis;191612;"ACETO CORP";106005
ACGL;445596;"Arch Capital Group LTD";104013
ACHC;445598;"Acadia Healthcare Company Inc";106011
ACI;1077533;"Albertsons Companies, Inc.";102001
ACIA;353923;"Acacia Communications, Inc.";101005
ACIW;1057787;"ACI WORLDWIDE, INC.";101003
ACLS;670942;"AXCELIS TECHNOLOGIES INC";101004
ACLX;1342109;"Arcellx, Inc.";
ACM;445606;"Aecom Technology Corp";100003
ACN;61372;"Accenture plc";108002
ACPW;95192;"ACTIVE POWER INC";
ACRX;113247;"ACELRX PHARMACEUTICALS INC";106004
ACT;353702;"Actavis, Inc.";106002
ACU;998436;"ACME UNITED CORP";102001
ACW;671043;"ACCURIDE CORP";100012
ADBE;14099;"Adobe Systems";101003
ADES;619745;"Advanced Emissions Solutions, Inc.";100001
ADI;65917;"ANALOG DEVICES INC";101004
ADIL;807531;"ADIAL PHARMACEUTICALS, INC.";106002
ADM;66997;"ARCHER DANIELS MIDLAND CO";102002
ADMA;976582;"ADMA BIOLOGICS, INC.";106002
ADNT;675558;"Adient plc";103005
ADOM;807727;"Envirotech Vehicles, Inc.";103005
ADP;591496;"AUTOMATIC DATA PROCESSING INC";100002
ADPT;1147630;"Adaptive Biotechnologies Corp";106002
ADPT_delis;118952;"Adeptus Health Inc.";106002
ADS;68960;"ALLIANCE DATA SYSTEMS CORP";104007
ADSK;185035;"AUTODESK INC";101003
ADT;54871;"ADT Inc.";101001
ADTM;664460;"Adaptive Medias, Inc.";
ADTN;998420;"ADTRAN INC";101005
ADUS;1023443;"Addus HomeCare Corp";106011
ADV;1108279;"Advantage Solutions Inc.";108004
ADVM;702608;"Adverum Biotechnologies, Inc.";106002
ADXS;950904;"Advaxis, Inc.";106002
AE;191518;"ADAMS RESOURCES & ENERGY, INC.";107005
AEE;68703;"AMEREN CORP";105001
AEHR;178053;"AEHR TEST SYSTEMS";101004
AEIS;574583;"ADVANCED ENERGY INDUSTRIES INC";101001
AEO;173396;"AMERICAN EAGLE OUTFITTERS INC";103002
AEP;66050;"AMERICAN ELECTRIC POWER CO INC";105001
AEPI;210001;"AEP INDUSTRIES INC";103018
AES;62329;"AES CORP";105001
AET;62217;"AETNA INC /PA/";106006
AFG;485236;"AMERICAN FINANCIAL GROUP INC";104006
AFI;155205;"Armstrong Flooring, Inc.";110005
AFL;62581;"AFLAC INC";104004
AFRM;1242005;"Affirm Holdings, Inc.";104003
AFSI;822262;"Amtrust Financial Services, Inc.";104006
AGCO;365265;"AGCO CORP /DE";100009
AGHI;996261;"Agora Holdings, Inc.";
AGI;111482;"Affinion Group, Inc.";110004
AGIO;737501;"AGIOS PHARMACEUTICALS INC";106002
AGLE;640634;"Aeglea BioTherapeutics, Inc.";106002
AGN;61474;"Allergan plc";106005
AGNC;445654;"American Capital Agency Corp";109001
AGN_old;442340;"Allergan Inc.";106005
AGO;601095;"ASSURED GUARANTY LTD";104013
AGR;709430;"Avangrid, Inc.";105001
AGS;967946;"PlayAGS, Inc.";103015
AGX;529078;"ARGAN INC";100003
AGYS;249502;"AGILYSYS INC";101003
AH;1234789;"R1 RCM INC.";
AHFD;774716;"Active Health Foods, Inc.";
AHH;949479;"Armada Hoffler Properties, Inc.";
AHL;700634;"ASPEN INSURANCE HOLDINGS LTD";104013
AHPI;262963;"ALLIED HEALTHCARE PRODUCTS INC";106004
AI;1326825;"C3.ai, Inc.";101003
AIG;251769;"AMERICAN INTERNATIONAL GROUP INC";104005
AIMC;773555;"Altra Industrial Motion Corp.";100001
AINC;819902;"Ashford Inc.";104001
AIR;671123;"AAR CORP";100008
AIRC;1234036;"Apartment Income REIT Corp.";
AIRI;166965;"AIR INDUSTRIES GROUP";100008
AIT;253867;"APPLIED INDUSTRIAL TECHNOLOGIES INC";100005
AIV;67201;"APARTMENT INVESTMENT & MANAGEMENT CO";109001
AIZ;66661;"ASSURANT INC";104005
AJBI;663635;"AMI JAMES BRANDS, INC.";
AJG;66898;"GALLAGHER ARTHUR J & CO";104003
AJRD;516551;"AEROJET ROCKETDYNE HOLDINGS, INC.";100008
AJX;90767;"Great Ajax Corp.";109001
AKAM;69211;"AKAMAI TECHNOLOGIES INC";101003
AKR;664572;"ACADIA REALTY TRUST";109001
AKRX;195622;"AKORN INC";106005
AKS;671046;"AK STEEL HOLDING CORP";110007
AKYA;1250889;"Akoya Biosciences, Inc.";106002
AL;182952;"AIR LEASE CORP";100007
ALB;132877;"ALBEMARLE CORP";110001
ALCO;798086;"ALICO INC";102002
ALE;445686;"Allete Inc";105001
ALEX;664573;"Alexander & Baldwin, Inc.";109001
ALG;128246;"ALAMO GROUP INC";100009
ALGN;445691;"Align Technology Inc";106004
ALGT;735180;"Allegiant Travel CO";100006
ALJ;344561;"Alon USA Energy, Inc.";107001
ALJJ;374775;"ALJ REGIONAL HOLDINGS INC";100002
ALK;65470;"ALASKA AIR GROUP, INC.";100006
ALKS;445699;"Alkermes PLC";106002
ALL;68840;"ALLSTATE CORP";104006
ALLE;69109;"Allegion plc";100007
ALLY;510248;"Ally Financial Inc.";104002
ALNY;325251;"ALNYLAM PHARMACEUTICALS, INC.";106002
ALOT;995248;"AstroNova, Inc.";100001
ALPN;819011;"ALPINE IMMUNE SCIENCES, INC.";106002
ALR;139220;"ALERE INC.";106001
ALRM;819790;"Alarm.com Holdings, Inc.";101003
ALRN;815574;"AILERON THERAPEUTICS INC";106002
ALSK;899013;"ALASKA COMMUNICATIONS SYSTEMS GROUP INC";108001
ALSN;445706;"Allison Transmission Holdings Inc";103005
ALT;511510;"Altimmune, Inc.";106002
ALTA;363174;Altabancorp;104002
ALTM;1249012;"Altus Midstream Co";107003
ALTMS;806793;"Alta Mesa Holdings, LP";
ALTR;686620;"Altair Engineering Inc.";101003
ALTR_delis;442342;"Altera Corp.";101004
ALV;104657;"AUTOLIV INC";103005
ALX;87732;"ALEXANDERS INC";109001
ALXN;65359;"ALEXION PHARMACEUTICALS INC";106002
AMAT;67102;"APPLIED MATERIALS INC /DE";101004
AMBA;50129;"AMBARELLA INC";101004
AMC;1100848;"AMC ENTERTAINMENT HOLDINGS, INC.";103001
AMCX;445716;"Amc Networks Inc";103001
AMD;191397;"ADVANCED MICRO DEVICES INC";101004
AME;67669;"AMETEK INC/";100001
AMED;904598;"AMEDISYS INC";106011
AMG;62475;"AFFILIATED MANAGERS GROUP, INC.";104001
AMGN;65735;"AMGEN INC";106002
AMH;445723;"American Homes 4 Rent";109001
AMKR;693881;"AMKOR TECHNOLOGY, INC.";101004
